CustomerID,WebsiteVisits,AppUsage,SupportCalls,Complaints,Reviews,WishlistCount,CartAbandonment,SatisfactionScore
CUST000001,23,167.8,3,2,4,2,2,2.5
CUST000002,19,143.3,5,3,5,1,2,2.8
CUST000003,23,234.4,0,0,3,6,2,4.1
CUST000004,19,223.8,3,2,6,6,0,4.3
CUST000005,25,151.0,4,0,3,5,1,4.1
CUST000006,14,164.5,10,1,1,8,3,2.9
CUST000007,14,98.3,7,2,3,5,2,2.0
CUST000008,19,127.0,3,0,4,7,0,4.0
CUST000009,45,192.8,6,0,3,4,3,3.4
CUST000010,15,95.3,6,0,3,0,5,3.0
CUST000011,28,256.3,2,0,8,5,2,4.6
CUST000012,9,77.5,3,1,4,8,1,3.6
CUST000013,33,235.8,1,1,5,10,0,5.0
CUST000014,35,99.3,5,0,6,5,6,3.3
CUST000015,25,213.6,4,3,2,7,3,2.6
CUST000016,17,146.5,3,1,2,4,5,3.0
CUST000017,7,81.8,2,3,5,6,4,5.0
CUST000018,28,243.8,3,2,3,7,2,5.0
CUST000019,47,286.4,2,1,2,6,0,4.0
CUST000020,21,232.0,3,1,3,7,1,2.8
CUST000021,26,175.1,3,2,4,6,8,3.5
CUST000022,16,152.4,2,0,6,1,3,3.9
CUST000023,12,54.1,4,2,2,3,5,2.3
CUST000024,23,168.1,2,1,3,2,4,4.6
CUST000025,35,116.2,4,0,8,4,7,3.3
CUST000026,40,120.4,6,1,1,1,1,1.8
CUST000027,14,112.3,2,1,3,4,4,2.9
CUST000028,8,26.8,2,1,2,2,4,3.5
CUST000029,7,42.9,2,2,4,7,3,3.9
CUST000030,27,94.2,2,1,2,8,1,4.4
CUST000031,39,294.3,6,2,2,4,3,3.4
CUST000032,24,214.4,5,3,5,2,1,3.2
CUST000033,44,486.4,5,2,4,6,3,3.0
CUST000034,31,96.2,6,4,10,2,3,3.8
CUST000035,12,74.1,3,1,8,8,1,4.1
CUST000036,20,133.3,6,1,3,4,0,3.0
CUST000037,25,149.1,4,2,7,3,1,3.7
CUST000038,18,112.6,1,0,8,6,0,3.9
CUST000039,23,268.6,6,0,2,3,2,3.3
CUST000040,23,275.1,1,0,4,2,0,4.3
CUST000041,33,111.9,2,2,1,9,2,3.2
CUST000042,13,89.6,5,1,1,1,2,2.6
CUST000043,14,83.7,3,0,0,6,3,3.6
CUST000044,44,489.1,3,0,1,4,3,3.4
CUST000045,35,338.8,4,4,1,3,3,3.8
CUST000046,39,283.2,5,4,4,5,0,3.3
CUST000047,17,78.4,2,0,3,11,2,3.9
CUST000048,12,68.4,3,1,3,5,1,3.7
CUST000049,11,64.3,7,2,3,4,3,4.3
CUST000050,10,25.8,3,5,5,4,0,5.0
CUST000051,13,49.1,1,0,6,4,2,4.3
CUST000052,42,442.3,6,6,3,3,2,4.0
CUST000053,36,128.2,2,0,6,9,2,5.0
CUST000054,7,77.7,2,0,1,9,2,4.6
CUST000055,7,39.0,3,2,4,7,2,3.6
CUST000056,21,250.3,4,2,7,4,3,3.7
CUST000057,22,259.1,3,1,8,7,1,4.6
CUST000058,15,129.6,3,3,1,4,5,2.2
CUST000059,20,143.1,1,0,3,2,2,3.4
CUST000060,16,112.4,1,0,2,5,5,3.1
CUST000061,54,555.0,6,2,2,3,4,3.7
CUST000062,17,194.1,2,0,3,11,1,4.0
CUST000063,16,106.4,5,2,4,6,0,3.6
CUST000064,11,85.4,3,2,3,5,3,3.1
CUST000065,23,72.5,4,0,5,2,6,2.3
CUST000066,31,154.2,9,3,5,7,2,3.4
CUST000067,30,193.5,4,2,3,9,1,3.4
CUST000068,15,91.0,2,2,3,5,4,3.8
CUST000069,23,104.4,4,1,11,7,2,3.6
CUST000070,13,104.7,3,2,2,7,2,2.9
CUST000071,16,191.4,0,0,8,7,1,4.9
CUST000072,34,377.6,2,1,5,3,1,3.5
CUST000073,20,75.8,3,0,1,4,4,2.9
CUST000074,18,173.4,6,2,3,4,3,3.0
CUST000075,29,242.7,6,2,4,11,2,3.2
CUST000076,37,320.7,1,0,4,7,1,2.6
CUST000077,14,69.5,5,1,3,7,2,4.0
CUST000078,19,81.0,6,3,1,3,3,2.8
CUST000079,18,123.2,4,1,5,3,2,2.9
CUST000080,20,230.8,5,2,6,6,1,4.1
CUST000081,10,53.2,8,2,1,2,4,3.0
CUST000082,16,128.1,4,1,3,8,5,1.7
CUST000083,11,60.5,4,0,3,6,6,3.6
CUST000084,16,171.1,3,1,5,9,1,4.9
CUST000085,15,64.3,4,2,2,5,4,3.1
CUST000086,41,272.0,0,0,5,3,6,4.1
CUST000087,44,472.3,3,1,2,7,2,4.3
CUST000088,17,176.5,6,3,3,6,5,2.3
CUST000089,14,55.4,1,0,7,6,2,3.8
CUST000090,16,158.7,2,1,7,4,1,3.9
CUST000091,6,64.0,2,1,1,7,3,2.8
CUST000092,11,67.9,2,0,5,6,2,3.0
CUST000093,22,148.9,4,3,3,9,2,4.2
CUST000094,14,88.4,1,2,3,6,0,3.5
CUST000095,26,244.1,4,4,5,3,1,3.2
CUST000096,13,112.1,2,1,4,3,3,3.3
CUST000097,12,38.2,4,3,3,7,1,3.8
CUST000098,18,136.5,2,1,5,12,2,3.9
CUST000099,27,154.3,5,2,2,8,1,2.8
CUST000100,15,142.1,7,1,3,11,2,3.4
CUST000101,18,114.8,3,3,2,10,4,3.4
CUST000102,20,163.0,1,1,1,5,1,4.5
CUST000103,17,88.1,3,2,6,10,2,4.2
CUST000104,25,287.4,3,0,1,5,0,2.7
CUST000105,22,55.3,4,1,2,6,0,4.3
CUST000106,11,72.4,0,0,6,8,2,4.0
CUST000107,24,157.0,6,1,4,5,7,2.3
CUST000108,17,169.8,6,2,4,4,4,2.1
CUST000109,20,122.6,5,2,1,7,2,4.7
CUST000110,20,138.7,6,2,4,2,3,2.3
CUST000111,17,115.4,4,1,6,4,3,3.5
CUST000112,15,170.9,2,1,4,0,0,4.7
CUST000113,18,74.9,3,3,4,2,3,4.0
CUST000114,25,182.6,1,1,4,2,4,3.3
CUST000115,46,212.2,5,2,4,5,3,3.7
CUST000116,8,31.7,3,0,2,6,4,4.4
