CustomerID,Age,Income,Membership,Tenure,TotalSpend,TotalTransactions,AvgOrderValue,PurchaseFrequency
CUST000001,56,44487,Bronze,6.2,1947.4,26,74.9,4.2
CUST000002,69,53129,Free,5.4,508.27,7,72.61,1.3
CUST000003,46,79368,Free,6.2,1480.8,15,98.72,2.4
CUST000004,32,211810,Platinum,3.0,25823.36,64,403.49,21.3
CUST000005,60,38682,Free,5.4,452.4,8,56.55,1.5
CUST000006,25,30916,Free,3.5,84.4,2,42.2,0.6
CUST000007,38,85344,Bronze,6.3,2055.84,24,85.66,3.8
CUST000008,56,167502,Platinum,0.3,1759.95,5,351.99,16.7
CUST000009,75,74519,Silver,1.9,1550.56,16,96.91,8.4
CUST000010,36,61922,Bronze,0.4,73.43,1,73.43,2.5
CUST000011,40,75715,Bronze,3.1,987.7,10,98.77,3.2
CUST000012,28,60362,Silver,5.0,2042.63,23,88.81,4.6
CUST000013,28,78274,Silver,3.9,1363.8,20,68.19,5.1
CUST000014,41,103515,Gold,5.1,12359.86,82,150.73,16.1
CUST000015,70,63221,Bronze,3.4,1399.04,16,87.44,4.7
CUST000016,53,81000,Bronze,0.4,102.85,1,102.85,2.5
CUST000017,57,40989,Silver,5.5,2569.35,35,73.41,6.4
CUST000018,41,81652,Silver,3.4,1876.8,20,93.84,5.9
CUST000019,20,58650,Free,4.7,214.74,3,71.58,0.6
CUST000020,39,32523,Free,2.0,46.21,1,46.21,0.5
CUST000021,70,108538,Platinum,6.5,40829.6,184,221.9,28.3
CUST000022,19,30368,Bronze,2.6,791.0,14,56.5,5.4
CUST000023,41,82503,Bronze,5.8,3075.2,31,99.2,5.3
CUST000024,61,45845,Free,1.2,78.85,1,78.85,0.8
CUST000025,47,44713,Bronze,4.5,1124.89,17,66.17,3.8
CUST000026,55,85510,Silver,3.2,2740.4,26,105.4,8.1
CUST000027,19,56821,Bronze,6.4,1508.04,18,83.78,2.8
CUST000028,38,34309,Free,4.4,384.48,6,64.08,1.4
CUST000029,50,63230,Free,1.5,265.12,4,66.28,2.7
CUST000030,29,73254,Gold,2.4,3992.04,39,102.36,16.2
CUST000031,75,92650,Gold,3.4,7674.72,59,130.08,17.4
CUST000032,39,58997,Silver,5.7,1969.39,29,67.91,5.1
CUST000033,61,60247,Silver,3.3,1585.32,22,72.06,6.7
CUST000034,42,51264,Bronze,0.6,211.4,4,52.85,6.7
CUST000035,66,118712,Gold,1.0,1990.24,14,142.16,14.0
CUST000036,44,61785,Silver,3.0,1376.25,25,55.05,8.3
CUST000037,59,57084,Silver,0.9,340.38,6,56.73,6.7
CUST000038,45,44066,Free,2.8,416.29,7,59.47,2.5
CUST000039,33,51512,Bronze,2.1,277.4,4,69.35,1.9
CUST000040,32,77316,Silver,0.3,311.61,3,103.87,10.0
CUST000041,64,41068,Free,6.3,730.34,13,56.18,2.1
CUST000042,68,86788,Bronze,4.9,1582.56,24,65.94,4.9
CUST000043,61,106817,Bronze,4.0,1891.29,23,82.23,5.8
CUST000044,72,47893,Bronze,2.0,474.03,9,52.67,4.5
CUST000045,69,22862,Silver,1.1,195.7,5,39.14,4.5
CUST000046,74,42564,Free,2.6,224.8,4,56.2,1.5
CUST000047,20,48791,Silver,0.2,117.4,2,58.7,10.0
CUST000048,54,31615,Free,3.6,565.02,9,62.78,2.5
CUST000049,68,79288,Gold,0.1,152.57,1,152.57,10.0
CUST000050,24,49904,Free,2.0,136.12,2,68.06,1.0
CUST000051,38,24277,Silver,1.2,409.8,10,40.98,8.3
CUST000052,26,85807,Bronze,5.8,2731.04,26,105.04,4.5
CUST000053,56,64999,Free,5.6,223.56,3,74.52,0.5
CUST000054,35,46824,Bronze,5.1,1269.01,19,66.79,3.7
CUST000055,21,74527,Gold,4.7,8690.5,65,133.7,13.8
CUST000056,42,45093,Free,5.1,593.23,11,53.93,2.2
CUST000057,31,41219,Free,0.8,128.26,2,64.13,2.5
CUST000058,67,64226,Bronze,4.9,988.0,13,76.0,2.7
CUST000059,75,44794,Free,5.5,226.29,3,75.43,0.5
CUST000060,26,77099,Gold,1.7,2505.09,21,119.29,12.4
CUST000061,43,43344,Free,3.9,568.2,10,56.82,2.6
CUST000062,70,48722,Silver,3.7,1400.36,26,53.86,7.0
CUST000063,19,52924,Free,1.7,431.7,5,86.34,2.9
CUST000064,37,36871,Free,0.4,44.3,1,44.3,2.5
CUST000065,45,24483,Free,5.9,447.36,12,37.28,2.0
CUST000066,64,35187,Bronze,3.7,747.32,14,53.38,3.8
CUST000067,24,65451,Bronze,3.0,1026.56,16,64.16,5.3
CUST000068,61,43954,Free,5.6,654.21,9,72.69,1.6
CUST000069,25,76376,Gold,4.7,7636.93,79,96.67,16.8
