CustomerID,Age,Gender,Income,Location,Membership,RegistrationDate
CUST000001,41,Male,46900,Texas,Free,2025-03-11
CUST000002,34,Male,104000,Ohio,Bronze,2023-09-10
CUST000003,43,Female,21900,Georgia,Silver,2023-10-24
CUST000004,54,Female,54000,Texas,Bronze,2026-03-06
CUST000005,33,Male,30400,Illinois,Bronze,2023-05-05
CUST000006,33,Male,60600,Pennsylvania,Free,2023-01-28
CUST000007,54,Male,19100,Texas,Free,2022-03-26
CUST000008,45,Female,57800,North Carolina,Bronze,2025-09-05
CUST000009,30,Male,129200,Texas,Silver,2023-02-25
CUST000010,42,Male,37300,California,Free,2025-07-20
CUST000011,30,Male,23100,California,Gold,2023-06-21
CUST000012,30,Female,68200,North Carolina,Silver,2022-09-16
CUST000013,38,Female,41900,Florida,Silver,2025-01-07
CUST000014,18,Female,78600,California,Free,2022-10-29
CUST000015,18,Female,84900,New York,Bronze,2024-02-28
CUST000016,29,Female,82100,New York,Gold,2022-06-11
CUST000017,23,Female,48400,Illinois,Free,2025-10-24
CUST000018,39,Male,122000,Florida,Silver,2022-08-12
CUST000019,25,Female,72900,Pennsylvania,Platinum,2023-08-03
CUST000020,19,Female,34100,New York,Silver,2024-07-05
CUST000021,53,Female,35400,Ohio,Free,2025-09-27
CUST000022,33,Male,94100,New York,Silver,2026-03-10
CUST000023,36,Male,68500,Texas,Free,2024-04-16
CUST000024,18,Female,34200,Texas,Free,2023-10-31
CUST000025,29,Female,41000,North Carolina,Free,2026-04-05
CUST000026,37,Female,47500,California,Free,2023-01-15
CUST000027,22,Female,73900,Texas,Gold,2025-06-02
CUST000028,40,Male,43800,Texas,Free,2024-07-27
CUST000029,28,Male,94600,Texas,Bronze,2025-05-20
CUST000030,32,Male,58700,Georgia,Silver,2023-08-10
CUST000031,28,Male,96900,Florida,Free,2022-11-21
CUST000032,58,Female,27600,New York,Bronze,2023-03-13
CUST000033,35,Male,103800,Texas,Free,2024-01-19
CUST000034,23,Male,88000,Texas,Free,2024-12-31
CUST000035,45,Male,50900,Texas,Bronze,2023-01-25
CUST000036,21,Male,37700,Georgia,Free,2022-02-12
CUST000037,38,Male,94000,North Carolina,Free,2026-03-27
CUST000038,18,Male,39000,North Carolina,Free,2025-03-23
CUST000039,20,Male,48900,New York,Bronze,2024-07-22
CUST000040,38,Male,63100,Illinois,Silver,2023-12-05
CUST000041,44,Male,27800,New York,Free,2024-06-22
CUST000042,38,Female,44700,North Carolina,Bronze,2026-02-13
CUST000043,34,Male,30900,Texas,Bronze,2026-03-20
CUST000044,32,Male,22500,North Carolina,Free,2023-04-20
CUST000045,18,Male,139000,Texas,Free,2026-02-06
CUST000046,27,Female,35300,Georgia,Bronze,2024-09-02
CUST000047,30,Male,67000,New York,Silver,2022-03-11
CUST000048,48,Female,139700,California,Free,2025-07-31
CUST000049,40,Male,35700,New York,Free,2024-08-10
CUST000050,18,Male,26100,Ohio,Platinum,2024-12-05
CUST000051,39,Male,118300,California,Silver,2023-09-15
CUST000052,31,Male,30800,California,Free,2022-12-09
CUST000053,27,Female,39900,Georgia,Gold,2026-03-19
CUST000054,43,Male,36900,Pennsylvania,Silver,2024-08-26
CUST000055,48,Female,53000,Washington,Silver,2025-01-16
CUST000056,47,Female,19700,Georgia,Free,2024-07-10
CUST000057,25,Male,66900,Pennsylvania,Free,2022-01-16
CUST000058,32,Female,61900,New York,Free,2022-08-06
CUST000059,39,Female,75600,Georgia,Bronze,2022-05-17
CUST000060,47,Male,74800,Texas,Bronze,2023-09-19
