Age,Income,Membership,Tenure,TotalSpend,TotalTransactions,AvgOrderValue,PurchaseFrequency,Customer_Segment,Segment
56,44487,,6.2,1947.4,26,74.9,4.2,2,2
69,53129,,5.4,508.27,7,72.61,1.3,2,2
46,79368,,6.2,1480.8,15,98.72,2.4,1,1
32,211810,,3.0,25823.36,64,403.49,21.3,0,0
60,38682,,5.4,452.4,8,56.55,1.5,2,2
25,30916,,3.5,84.4,2,42.2,0.6,1,1
38,85344,,6.3,2055.84,24,85.66,3.8,1,1
56,167502,,0.3,1759.95,5,351.99,16.7,0,0
75,74519,,1.9,1550.56,16,96.91,8.4,2,2
36,61922,,0.4,73.43,1,73.43,2.5,1,1
40,75715,,3.1,987.7,10,98.77,3.2,1,1
28,60362,,5.0,2042.63,23,88.81,4.6,1,1
28,78274,,3.9,1363.8,20,68.19,5.1,1,1
41,103515,,5.1,12359.86,82,150.73,16.1,0,0
70,63221,,3.4,1399.04,16,87.44,4.7,2,2
53,81000,,0.4,102.85,1,102.85,2.5,2,2
57,40989,,5.5,2569.35,35,73.41,6.4,2,2
41,81652,,3.4,1876.8,20,93.84,5.9,1,1
20,58650,,4.7,214.74,3,71.58,0.6,1,1
39,32523,,2.0,46.21,1,46.21,0.5,1,1
70,108538,,6.5,40829.6,184,221.9,28.3,0,0
19,30368,,2.6,791.0,14,56.5,5.4,1,1
41,82503,,5.8,3075.2,31,99.2,5.3,1,1
61,45845,,1.2,78.85,1,78.85,0.8,2,2
47,44713,,4.5,1124.89,17,66.17,3.8,2,2
55,85510,,3.2,2740.4,26,105.4,8.1,2,2
19,56821,,6.4,1508.04,18,83.78,2.8,1,1
38,34309,,4.4,384.48,6,64.08,1.4,1,1
50,63230,,1.5,265.12,4,66.28,2.7,2,2
29,73254,,2.4,3992.04,39,102.36,16.2,1,1
75,92650,,3.4,7674.72,59,130.08,17.4,2,2
39,58997,,5.7,1969.39,29,67.91,5.1,1,1
61,60247,,3.3,1585.32,22,72.06,6.7,2,2
42,51264,,0.6,211.4,4,52.85,6.7,1,1
66,118712,,1.0,1990.24,14,142.16,14.0,0,0
44,61785,,3.0,1376.25,25,55.05,8.3,1,1
59,57084,,0.9,340.38,6,56.73,6.7,2,2
45,44066,,2.8,416.29,7,59.47,2.5,1,1
33,51512,,2.1,277.4,4,69.35,1.9,1,1
32,77316,,0.3,311.61,3,103.87,10.0,1,1
64,41068,,6.3,730.34,13,56.18,2.1,2,2
68,86788,,4.9,1582.56,24,65.94,4.9,2,2
61,106817,,4.0,1891.29,23,82.23,5.8,0,0
72,47893,,2.0,474.03,9,52.67,4.5,2,2
69,22862,,1.1,195.7,5,39.14,4.5,2,2
74,42564,,2.6,224.8,4,56.2,1.5,2,2
20,48791,,0.2,117.4,2,58.7,10.0,1,1
54,31615,,3.6,565.02,9,62.78,2.5,2,2
68,79288,,0.1,152.57,1,152.57,10.0,2,2
24,49904,,2.0,136.12,2,68.06,1.0,1,1
38,24277,,1.2,409.8,10,40.98,8.3,1,1
26,85807,,5.8,2731.04,26,105.04,4.5,1,1
56,64999,,5.6,223.56,3,74.52,0.5,2,2
35,46824,,5.1,1269.01,19,66.79,3.7,1,1
21,74527,,4.7,8690.5,65,133.7,13.8,1,1
42,45093,,5.1,593.23,11,53.93,2.2,1,1
31,41219,,0.8,128.26,2,64.13,2.5,1,1
67,64226,,4.9,988.0,13,76.0,2.7,2,2
75,44794,,5.5,226.29,3,75.43,0.5,2,2
26,77099,,1.7,2505.09,21,119.29,12.4,1,1
43,43344,,3.9,568.2,10,56.82,2.6,1,1
70,48722,,3.7,1400.36,26,53.86,7.0,2,2
19,52924,,1.7,431.7,5,86.34,2.9,1,1
37,36871,,0.4,44.3,1,44.3,2.5,1,1
45,24483,,5.9,447.36,12,37.28,2.0,1,1
64,35187,,3.7,747.32,14,53.38,3.8,2,2
24,65451,,3.0,1026.56,16,64.16,5.3,1,1
61,43954,,5.6,654.21,9,72.69,1.6,2,2
25,76376,,4.7,7636.93,79,96.67,16.8,1,1
64,82225,,1.2,654.01,7,93.43,5.8,2,2
52,68245,,3.3,696.96,8,87.12,2.4,2,2
31,63482,,4.2,339.24,4,84.81,1.0,1,1
34,66698,,4.6,691.52,8,86.44,1.7,1,1
53,59188,,4.0,295.28,4,73.82,1.0,2,2
67,78762,,3.2,1321.92,16,82.62,5.0,2,2
