CustomerID,Age,Gender,Income,Location,Membership,RegistrationDate,Tenure,TotalSpend,TotalTransactions,AverageOrderValue,PurchaseFrequency,LastPurchaseDays,PreferredCategory,WebsiteVisits,AppUsageMinutes,LoginFrequency,WishlistCount,CartAbandonmentRate,EmailOpenRate,MarketingClicks,SatisfactionScore,Rating,SupportCalls,Complaints,Reviews,CustomerHealthScore,ChurnRisk,CustomerLifetimeValue,NextPurchaseAmount,NextPurchaseDays,DiscountUsed,CouponUsed,ReferralCount,PaymentMethod,DeviceType,ReturnRate,LoyaltyPoints
CUST-1001,58,Male,75927,Seattle,Basic,2024-11-15,19.5,3171.2,16,198.2,0.82,53,Books,49,44,38,13,0.12,0.12,7,4,3.6,0,0,13,100,Low,5959.5,185.95,41,0,0,1,Apple Pay,Mobile,0.05,31712
CUST-1002,66,Male,40538,Los Angeles,Basic,2024-04-14,26.5,12463.47,69,180.63,2.6,310,Home & Kitchen,53,0,30,17,0.19,0.7,2,4,4.3,1,1,6,100,High,20844.34,204.44,6,37,5,2,Credit Card,Mobile,0.11,122784
CUST-1003,41,Male,99742,Philadelphia,Gold,2025-03-29,15.1,11819.42,34,347.63,2.25,350,Books,6,87,35,23,0.28,0.37,8,5,5.0,1,0,1,100,High,17037.61,327.34,7,17,2,0,BNPL (Klarna/Afterpay),Desktop,0.08,176441
CUST-1004,59,Female,52220,Austin,Basic,2023-11-05,31.8,3657.69,27,135.47,0.85,288,Sports & Outdoors,18,219,38,12,0.37,0.75,4,4,3.7,0,0,5,100,High,7580.91,158.07,35,12,9,5,BNPL (Klarna/Afterpay),Mobile,0.14,35976
CUST-1005,18,Female,70323,Los Angeles,Gold,2022-08-05,46.8,7877.67,111,70.97,2.37,329,Home & Kitchen,9,80,30,0,0.82,0.66,8,5,5.0,1,0,9,100,High,17058.4,84.22,13,47,10,0,BNPL (Klarna/Afterpay),Tablet,0.15,115815
CUST-1006,49,Male,82961,Philadelphia,Gold,2021-10-02,56.9,6169.62,62,99.51,1.09,124,Sports & Outdoors,7,0,32,2,0.83,0.42,4,2,2.0,1,0,13,87,High,14788.19,122.97,33,25,21,1,Debit Card,Desktop,0.11,91294
CUST-1007,33,Male,45023,Philadelphia,Silver,2026-04-19,2.4,156.3,2,78.15,0.83,29,Electronics,6,30,15,2,0.78,0.65,2,4,3.8,1,0,2,100,Low,1664.12,95.67,37,1,1,0,Credit Card,Desktop,0.09,1825
CUST-1008,44,Male,51151,Seattle,Silver,2026-02-11,4.6,2928.77,13,225.29,2.83,26,Electronics,27,409,7,7,0.24,0.43,4,3,2.8,0,2,7,100,Low,4709.44,264.31,13,0,0,3,PayPal,Mobile,0.12,35145
CUST-1009,31,Female,53023,New York,Basic,2025-06-29,12.1,6475.0,35,185.0,2.89,136,Beauty,20,374,36,21,0.64,0.16,9,3,2.6,2,0,10,89,High,9442.24,161.48,12,33,10,0,BNPL (Klarna/Afterpay),Mobile,0.05,63100
CUST-1010,56,Male,51794,Denver,Basic,2025-02-05,16.8,12307.42,47,261.86,2.8,292,Apparel,39,317,6,13,0.59,0.45,10,5,4.8,2,0,12,100,High,18115.02,236.29,13,4,0,0,BNPL (Klarna/Afterpay),Tablet,0.02,122874
CUST-1011,31,Female,51762,Chicago,Gold,2024-06-17,24.4,24022.7,65,369.58,2.66,190,Home & Kitchen,12,278,20,19,0.84,0.61,16,1,1.3,0,0,4,84,High,37494.24,353.24,7,26,22,0,Apple Pay,Mobile,0.06,359040
CUST-1012,21,Male,53259,San Antonio,Basic,2021-10-07,56.8,4920.44,28,175.73,0.49,67,Books,18,226,36,22,0.42,0.06,2,5,5.0,0,0,11,100,Medium,12242.96,190.32,58,9,5,2,Credit Card,Desktop,0.05,48754
CUST-1013,33,Female,83095,Philadelphia,Silver,2022-01-16,53.4,17018.43,143,119.01,2.68,318,Books,11,121,11,25,0.71,0.67,0,2,2.3,2,0,7,87,High,37256.43,113.86,14,9,7,0,Debit Card,Mobile,0.21,203771
CUST-1014,32,Male,126122,Austin,Gold,2025-05-02,14.0,7692.32,16,480.77,1.14,36,Home & Kitchen,24,204,44,17,0.35,0.07,28,5,4.7,5,0,3,100,Low,11435.91,523.38,20,13,9,5,Credit Card,Mobile,0.14,114734
CUST-1015,34,Male,81246,San Antonio,Silver,2026-05-29,1.1,475.22,2,237.61,1.82,13,Home & Kitchen,29,0,43,10,0.57,0.51,3,4,3.8,0,0,1,100,Low,1986.11,268.23,17,2,1,1,PayPal,Desktop,0.08,5602
CUST-1016,53,Female,42800,Phoenix,Basic,2024-10-22,20.3,3450.5,50,69.01,2.46,311,Books,22,226,44,6,0.48,0.61,30,4,3.7,0,0,10,100,High,6409.77,61.24,17,19,7,2,PayPal,Mobile,0.06,33555
CUST-1017,48,Female,54865,Miami,Basic,2026-01-03,5.9,4498.4,16,281.15,2.71,148,Apparel,47,253,26,7,0.21,0.53,28,4,4.2,0,0,5,100,High,6551.33,329.41,14,7,1,0,Debit Card,Desktop,0.25,44634
CUST-1018,56,Male,40127,Miami,Silver,2023-12-08,30.7,11595.5,70,165.65,2.28,259,Beauty,55,228,11,23,0.75,0.37,24,3,3.1,2,0,7,93,High,20406.79,159.0,8,34,21,0,BNPL (Klarna/Afterpay),Mobile,0.04,137446
CUST-1019,42,Female,50107,Seattle,Basic,2025-03-20,15.4,5163.5,23,224.5,1.49,278,Beauty,28,0,27,12,0.78,0.46,22,1,1.3,1,0,11,76,High,7960.12,217.64,11,13,8,1,BNPL (Klarna/Afterpay),Desktop,0.22,50985
CUST-1020,49,Male,77806,San Antonio,Basic,2023-09-11,33.6,14178.6,45,315.08,1.34,348,Beauty,48,239,9,19,0.5,0.68,18,4,3.6,1,0,14,100,High,25603.62,290.72,19,29,10,0,Debit Card,Mobile,0.24,140336
CUST-1021,44,Male,46537,Los Angeles,Basic,2023-10-12,32.6,8587.2,60,143.12,1.84,180,Apparel,43,0,42,1,0.67,0.71,6,5,5.0,0,0,3,100,High,15919.34,153.94,8,49,23,0,BNPL (Klarna/Afterpay),Tablet,0.18,83422
CUST-1022,67,Female,31820,Phoenix,Silver,2025-10-23,8.2,5257.11,23,228.57,2.8,148,Books,60,203,13,2,0.54,0.63,7,2,2.2,3,0,3,81,High,7370.2,267.08,11,17,13,1,Credit Card,Mobile,0.09,62235
CUST-1023,44,Female,40660,Los Angeles,Platinum,2023-12-27,30.1,5263.8,62,84.9,2.06,236,Books,11,375,34,20,0.3,0.62,17,4,4.0,3,0,10,100,High,10064.64,101.09,19,29,18,1,Debit Card,Mobile,0.12,103826
