TransactionID,CustomerID,TransactionDate,TransactionTime,Age,Gender,Income,Location,AccountAgeDays,Membership,ProductID,Category,Quantity,Price,TotalAmount,PaymentMethod,CardType,TransactionChannel,DeviceType,Browser,IPAddress,PreviousTransactionCount,AverageTransactionAmount,TransactionFrequency,TimeSinceLastTransaction,FailedLoginAttempts,PasswordChangeCount,NewDeviceLogin,IsInternational,DistanceFromHome,CustomerTotalSpend,CustomerAverageSpend,CustomerComplaints,CustomerRating,CustomerHealthScore,RefundCount,ChargebackCount,SuspiciousActivityCount,Fraud
TXN100001,CUST1654,2026-01-29,00:51:00,65,Female,55611.48,"Chicago, IL",3021,Standard,PROD792,Sports,5,113.46,567.3,Apple Pay,None,Online,Desktop,Chrome,56.119.13.144,50,363.69,10.55,37.8,0,3,1,1,26.3,18184.5,363.69,0,4.0,50,5,1,2,1
TXN100002,CUST1284,2026-02-09,07:20:00,66,Female,37776.28,"San Antonio, TX",401,Platinum,PROD967,Home & Kitchen,5,324.78,1623.9,Credit Card,Discover,Online,Mobile,Chrome,142.150.185.148,49,358.19,0.78,20.6,0,2,0,0,3.4,17551.31,358.19,1,4.5,78,2,1,2,0
TXN100003,CUST1363,2026-02-23,22:52:00,35,Non-Binary,142081.82,"Los Angeles, CA",2500,Gold,PROD646,Sports,2,204.45,408.9,Apple Pay,None,Mobile App,Tablet,Opera,57.166.28.59,8,406.42,6.08,6.1,0,4,1,0,18.4,3251.36,406.42,1,3.6,80,5,1,1,0
TXN100004,CUST1252,2026-05-24,18:23:00,34,Non-Binary,98073.25,"San Jose, CA",1640,Platinum,PROD324,Clothing,5,597.28,2986.4,Credit Card,Visa,In-Store,None,None,161.81.216.153,16,204.69,8.98,42.2,1,2,0,0,70.1,3275.04,204.69,0,3.7,98,2,2,2,0
TXN100005,CUST1445,2026-02-10,15:29:00,18,Non-Binary,134481.62,"Phoenix, AZ",2055,Gold,PROD619,Electronics,3,1011.59,3034.77,Bank Transfer,None,In-Store,None,None,40.191.82.139,135,460.88,9.02,44.0,1,0,1,0,4.0,62218.8,460.88,2,2.0,60,4,0,0,0
TXN100006,CUST1835,2026-01-18,18:10:00,67,Male,41048.93,"San Diego, CA",2256,Gold,PROD371,Books,5,513.53,2567.65,Debit Card,None,In-Store,None,None,183.159.204.172,95,230.29,7.81,11.0,0,1,0,0,14.9,21877.55,230.29,2,1.1,100,1,2,1,1
TXN100007,CUST1724,2026-06-11,02:00:00,32,Male,138177.5,"Philadelphia, PA",295,None,PROD343,Home & Kitchen,4,264.94,1059.76,Debit Card,None,POS,None,None,63.242.208.49,24,66.53,6.52,38.2,0,3,0,0,18.9,1596.72,66.53,0,1.2,73,0,0,1,0
TXN100008,CUST1459,2026-02-05,14:24:00,29,Female,82828.51,"Los Angeles, CA",1820,None,PROD200,Electronics,5,1004.87,5024.35,Credit Card,Mastercard,In-Store,None,None,105.248.246.55,102,453.17,2.55,0.3,0,3,1,0,9.1,46223.34,453.17,3,2.1,92,1,0,2,1
TXN100009,CUST1222,2026-01-15,19:46:00,65,Non-Binary,32619.7,"Philadelphia, PA",239,Standard,PROD698,Beauty,5,1104.07,5520.35,Bank Transfer,None,In-Store,None,None,15.41.95.18,17,344.1,3.6,10.9,0,4,0,0,4.5,5849.7,344.1,4,3.4,40,3,2,2,0
TXN100010,CUST1209,2026-06-21,10:43:00,33,Female,74473.23,"Phoenix, AZ",1877,Platinum,PROD869,Electronics,1,555.36,555.36,Bank Transfer,None,Online,Desktop,Opera,55.135.67.239,89,442.81,13.2,33.3,0,1,1,0,1.0,39410.09,442.81,4,3.8,97,0,2,2,0
