TransactionID,CustomerID,TransactionDate,TransactionTime,Age,Gender,Income,Location,AccountAgeDays,Membership,ProductID,Category,Quantity,Price,TotalAmount,PaymentMethod,CardType,TransactionChannel,DeviceType,Browser,IPAddress,PreviousTransactionCount,AverageTransactionAmount,TransactionFrequency,TimeSinceLastTransaction,FailedLoginAttempts,PasswordChangeCount,NewDeviceLogin,IsInternational,DistanceFromHome,CustomerTotalSpend,CustomerAverageSpend,CustomerComplaints,CustomerRating,CustomerHealthScore,RefundCount,ChargebackCount,SuspiciousActivityCount,Fraud
TXN100001,CUST2309,2025-02-27,00:51:00,65,Female,55611.48,"Chicago, IL",3021,Standard,PROD792,Sports,5,113.46,567.3,Apple Pay,None,Online,Desktop,Chrome,56.119.13.144,50,363.69,10.55,37.8,0,3,1,1,26.3,18184.5,363.69,0,4.0,50,5,3,2,1
TXN100002,CUST1569,2025-03-21,07:20:00,66,Female,37776.28,"San Antonio, TX",401,Platinum,PROD967,Home & Kitchen,5,324.78,1623.9,Credit Card,Discover,Online,Mobile,Chrome,142.150.185.148,49,358.19,0.78,20.6,0,2,0,0,3.4,17551.31,358.19,1,4.5,78,2,3,2,0
TXN100003,CUST1727,2025-04-18,22:52:00,35,Non-Binary,142081.82,"Austin, TX",297,None,PROD750,Clothing,5,877.66,4388.3,Debit Card,Discover,POS,None,None,70.112.166.216,196,392.48,3.51,3.0,0,2,1,0,18.4,76926.08,392.48,2,1.3,70,1,3,3,1
TXN100004,CUST2316,2025-08-23,04:52:00,34,Male,55828.44,"Dallas, TX",2212,Platinum,PROD864,Books,4,1078.41,4313.64,Apple Pay,None,Mobile App,Desktop,Safari,131.252.46.194,12,433.33,2.38,14.5,1,5,1,0,70.1,5199.96,433.33,4,1.3,78,4,3,4,1
TXN100005,CUST1514,2026-05-13,18:53:00,73,Male,110035.43,"Los Angeles, CA",2797,None,PROD868,Home & Kitchen,3,142.75,428.25,Apple Pay,None,In-Store,None,None,117.1.134.249,128,385.74,7.66,9.7,1,5,1,0,4.0,49374.72,385.74,5,3.0,55,1,2,1,0
TXN100006,CUST2086,2026-04-16,00:01:00,56,Female,86075.71,"Los Angeles, CA",1491,Platinum,PROD345,Electronics,2,1054.83,2109.66,Credit Card,Visa,POS,None,None,209.35.64.33,168,248.14,8.29,23.9,0,4,1,0,14.9,41687.52,248.14,1,4.7,55,5,2,3,1
TXN100007,CUST2375,2025-11-29,12:44:00,46,Non-Binary,81435.77,"Houston, TX",925,Standard,PROD446,Electronics,5,669.17,3345.85,Bank Transfer,None,In-Store,None,None,2.36.30.59,17,454.6,12.91,6.5,0,1,1,0,18.9,7728.2,454.6,5,2.9,99,1,3,1,0
TXN100008,CUST1833,2025-04-08,03:13:00,24,Non-Binary,78881.4,"San Antonio, TX",1688,VIP,PROD984,Sports,1,811.3,811.3,Crypto,None,Online,Desktop,Edge,187.173.55.64,49,111.3,6.78,38.0,0,2,1,0,9.1,5453.7,111.3,1,4.5,39,3,0,0,0
TXN100009,CUST2107,2026-03-05,00:30:00,23,Male,45788.89,"San Diego, CA",1976,Gold,PROD985,Beauty,1,205.92,205.92,Credit Card,Discover,Mobile App,Mobile,Firefox,109.249.79.49,75,124.5,0.97,66.2,0,0,1,0,4.5,9337.5,124.5,0,1.2,91,4,1,0,0
TXN100010,CUST1164,2026-03-12,06:20:00,22,Non-Binary,33495.11,"Columbus, OH",968,VIP,PROD222,Books,2,698.91,1397.82,Credit Card,None,Online,Mobile,Opera,145.161.133.53,171,363.77,3.66,35.7,0,5,1,0,1.0,62204.67,363.77,3,2.3,39,0,3,4,1
TXN100011,CUST2153,2025-02-21,02:30:00,52,Male,88235.59,"Chicago, IL",1434,Standard,PROD350,Home & Kitchen,3,197.72,593.16,Bank Transfer,None,Mobile App,Tablet,Opera,3.153.53.241,34,146.94,13.36,66.8,0,1,1,0,1.3,4995.96,146.94,2,3.4,73,1,2,4,0
TXN100012,CUST1104,2025-02-17,21:39:00,45,Female,30510.85,"Philadelphia, PA",3163,Gold,PROD752,Home & Kitchen,2,892.06,1784.12,Bank Transfer,None,POS,None,None,144.4.57.20,176,453.89,8.23,75.1,3,4,0,1,33.0,79884.64,453.89,3,1.5,69,2,0,2,1
