iter	Passed	Remaining
0	3	3587
1	4	2259
2	4	1653
3	5	1393
4	5	1178
5	6	1063
6	6	954
7	6	867
8	7	807
9	7	759
10	7	714
11	8	676
12	8	644
13	8	615
14	9	593
15	9	573
16	9	555
17	9	540
18	10	529
19	10	518
20	10	507
21	11	498
22	11	489
23	11	482
24	12	474
25	12	469
26	12	467
27	13	463
28	13	461
29	14	458
30	14	457
31	14	451
32	15	446
33	15	442
34	15	439
35	16	431
36	16	428
37	16	425
38	17	424
39	17	423
40	18	423
41	18	421
42	19	425
43	19	432
44	20	432
45	20	430
46	21	428
47	21	425
48	21	425
49	22	423
50	22	423
51	23	420
52	23	417
53	23	414
54	23	410
55	24	407
56	24	405
57	24	402
58	25	401
59	25	399
60	25	398
61	26	396
62	26	394
63	26	391
64	27	390
65	27	388
66	27	386
67	28	384
68	28	383
69	28	382
70	29	381
71	29	380
72	29	380
73	30	380
74	30	379
75	31	378
76	31	378
77	31	377
78	32	377
79	32	378
80	33	377
81	33	378
82	34	379
83	34	379
84	35	381
85	35	381
86	36	381
87	36	380
88	36	378
89	37	377
90	37	375
91	37	373
92	38	372
93	38	370
94	38	368
95	38	367
96	39	365
97	39	364
98	39	362
99	40	361
100	40	359
101	40	358
102	41	358
103	41	356
104	41	355
105	42	354
106	42	353
107	42	352
108	42	351
109	43	350
110	43	349
111	43	348
112	44	348
113	44	347
114	45	346
115	45	346
116	45	346
117	46	345
118	46	344
119	46	343
120	47	342
121	47	342
122	48	342
123	48	344
124	49	344
125	49	344
126	50	344
127	50	343
128	50	342
129	51	342
130	51	341
131	51	340
132	52	339
133	52	338
134	52	337
135	52	336
136	53	335
137	53	335
138	54	334
139	54	334
140	54	333
141	55	333
142	55	333
143	56	333
144	57	336
145	57	335
146	57	335
147	58	335
148	58	334
149	58	334
150	59	334
151	59	333
152	60	333
153	60	333
154	61	333
155	61	332
156	61	332
157	62	331
158	62	330
159	62	329
160	63	328
161	63	327
162	63	327
163	63	326
164	64	325
165	64	324
166	65	324
167	65	324
168	66	324
169	66	324
170	66	324
171	67	324
172	67	323
173	68	323
174	68	323
175	68	323
176	69	322
177	69	321
178	70	321
179	70	320
180	70	320
181	71	319
182	71	319
183	72	319
