CustomerID,Age,Income,TotalSpend,TotalTransactions,PurchaseFrequency,AverageOrderValue,Tenure,MonthlySpend,LastPurchaseDays,SatisfactionScore
CUST_00001,30,36145.43,16201.39,127,4.1,126.13,2.8,482.18,41,6.9
CUST_00002,33,116336.48,16206.03,66,1.2,238.53,4.2,321.55,133,2.5
CUST_00003,29,33083.98,1137.59,38,1.0,29.22,3.3,28.73,112,5.9
CUST_00004,47,62876.6,8849.93,166,3.5,53.31,4.2,175.59,65,8.6
CUST_00005,41,112443.26,188927.81,610,7.7,301.34,6.2,2539.35,17,9.0
CUST_00006,32,149488.76,233925.49,863,10.5,265.04,7.7,2531.66,9,10.0
CUST_00007,47,87947.53,197105.1,489,6.4,395.41,6.6,2488.7,6,8.1
CUST_00008,34,21382.97,839.57,22,0.8,38.06,2.7,25.91,85,7.3
CUST_00009,27,71553.88,10982.57,106,3.8,103.03,2.5,366.09,35,6.9
CUST_00010,28,48637.21,2233.38,61,1.1,36.8,4.9,37.98,25,4.8
CUST_00011,43,122123.42,138498.24,519,10.7,281.73,4.3,,1,7.9
CUST_00012,50,103260.52,5375.49,22,0.4,244.81,4.7,95.31,136,3.1
CUST_00013,51,23610.54,29.91,1,1.2,29.86,0.1,24.92,57,4.8
CUST_00014,34,95978.07,14585.22,222,4.1,67.51,4.9,248.05,17,4.1
CUST_00015,36,163917.58,168362.54,613,7.1,278.66,6.5,2158.49,29,8.2
CUST_00016,54,195105.72,73229.55,246,5.0,291.55,4.0,1525.62,8,9.8
CUST_00017,36,77899.61,10927.71,86,3.4,123.81,2.2,413.93,37,6.1
CUST_00018,40,93932.94,20041.79,205,4.2,,4.3,388.41,46,7.5
CUST_00019,26,76777.82,6342.83,56,2.6,115.68,1.7,310.92,39,5.9
CUST_00020,50,80580.09,4867.81,45,1.7,105.65,2.2,184.39,28,7.3
CUST_00021,33,41888.15,11046.2,89,2.9,129.01,2.8,328.76,24,9.0
CUST_00022,25,172779.19,152901.31,539,9.2,284.79,5.1,2498.39,5,8.6
CUST_00023,39,74505.56,17853.26,177,3.8,104.78,4.3,345.99,21,5.9
CUST_00024,50,83553.76,21799.36,213,4.0,105.15,4.7,386.51,25,6.1
CUST_00025,24,90182.38,14980.26,142,4.3,104.39,2.6,480.14,24,6.0
CUST_00026,24,46345.91,426.53,15,1.7,27.91,0.7,50.78,83,5.6
CUST_00027,41,108214.48,66136.82,358,5.2,179.11,5.3,1039.89,1,9.7
CUST_00028,40,76615.15,7464.06,42,2.3,163.96,1.5,,23,9.0
CUST_00029,35,72034.32,27154.78,256,4.5,106.68,5.4,419.06,29,7.1
CUST_00030,48,162282.59,194768.0,517,8.7,378.3,5.5,2951.03,19,8.7
CUST_00031,51,36639.99,8825.38,78,2.4,108.96,2.6,282.86,5,8.7
CUST_00032,42,147969.92,124211.33,714,10.0,168.28,5.9,1754.4,7,8.9
CUST_00033,40,159845.46,128581.21,373,7.0,339.18,4.9,2186.76,7,8.2
CUST_00034,41,94271.17,4682.08,33,0.4,143.54,7.0,55.74,157,3.1
CUST_00035,58,83612.65,9008.14,57,0.5,154.6,8.2,91.55,101,5.5
CUST_00036,28,42492.03,143.58,3,2.0,48.72,0.1,119.65,58,5.4
CUST_00037,46,82157.73,20264.23,163,3.2,126.83,3.8,444.39,8,6.8
